Date|Time|Sex|Age|Status
6/12/2019|6:00|F|44|dead
6/13/2019|16:50|F|65|dead
6/15/2019|6:00|F|60|dead
6/15/2019|6:00|F|44|dead
6/15/2019|8:00|M|59|dead
6/15/2019|12:09|M|NA|dead
6/17/2019|10:35|M|NA|dead
6/18/2019|17:27|M|61|dead
6/18/2019|17:27|F|59|dead
6/19/2019|12:00|F|61|dead
6/20/2019|21:00|F|48|dead
6/21/2019|14:00|F|57|dead
6/22/2019|1:00|M|NA|dead
6/23/2019|23:00|F|44|dead
6/25/2019|11:13|M|42|dead
6/27/2019|13:54|M|31|dead
6/28/2019|5:00|F|28|dead
6/28/2019|5:30|M|66|dead
6/29/2019|10:00|F|37|dead
6/29/2019|9:45|M|58|dead
6/29/2019|16:00|F|21|dead
6/30/2019|6:25|F|58|dead
6/30/2019|15:46|F|29|dead
7/2/2019|7:30|M|NA|dead
7/2/2019|11:00|F|34|dead
7/3/2019|5:02|F|72|dead
7/3/2019|5:40|F|28|dead
7/5/2019|6:00|M|53|dead
7/5/2019|11:00|M|36|dead
7/6/2019|9:14|M|22|dead
7/9/2019|6:30|M|31|dead
7/9/2019|14:40|F|66|dead
7/10/2019|5:00|F|62|dead
7/11/2019|14:30|F|50|dead
7/12/2019|15:00|M|52|dead
7/16/2019|5:41|F|66|dead
7/16/2019|5:42|M|32|dead
7/16/2019|5:52|M|46|dead
7/17/2019|18:35|M|23|dead
7/17/2019|23:52|M|34|dead
7/19/2019|10:00|M|29|dead
7/20/2019|6:40|M|22|dead
7/22/2019|23:00|M|26|dead
7/23/2019|11:00|F|47|dead
8/2/2019|6:00|M|42|dead
8/2/2019|15:00|F|29|dead
8/3/2019|8:53|M|74|dead
8/5/2019|5:00|M|NA|dead
8/8/2019|5:00|F|58|dead
8/8/2019|7:00|F|NA|dead
8/9/2019|4:52|F|14|dead
8/9/2019|7:00|F|73|dead
8/9/2019|19:00|M|22|dead
8/10/2019|8:50|F|30|dead
8/12/2019|20:00|F|85|dead
8/13/2019|3:00|F|53|dead
8/13/2019|6:00|F|76|Not_dead
8/14/2019|18:00|M|23|dead
8/15/2019|7:00|M|19|dead
8/16/2019|7:10|F|40|dead
8/18/2019|6:24|M|86|dead
8/20/2019|12:21|M|16|dead
8/21/2019|6:00|M|44|dead
8/21/2019|9:00|M|63|dead
8/21/2019|16:28|M|83|Not_dead
8/22/2019|3:15|M|27|dead
8/23/2019|7:00|F|29|dead
8/23/2019|11:13|M|45|dead
8/23/2019|12:35|M|76|dead
8/24/2019|4:00|F|58|dead
8/25/2019|20:00|M|NA|dead
8/26/2019|21:00|M|25|dead
8/27/2019|10:00|M|34|dead
8/28/2019|17:00|M|43|dead
8/28/2019|17:15|F|34|dead
8/28/2019|22:00|M|58|dead
8/29/2019|21:23|M|29|dead
8/30/2019|23:00|M|17|dead
8/31/2019|0:00|M|30|dead
8/31/2019|7:00|F|55|dead
9/2/2019|12:00|M|32|dead
9/2/2019|16:46|M|16|dead
9/2/2019|NA|M|13|dead
9/3/2019|9:15|F|35|dead
9/3/2019|13:00|M|25|dead
9/4/2019|9:30|F|64|dead
9/4/2019|13:35|M|49|dead
9/4/2019|19:34|F|27|dead
9/5/2019|8:38|M|78|dead
9/5/2019|10:30|F|73|dead
9/5/2019|15:00|F|39|dead
9/5/2019|22:30|M|83|dead
9/5/2019|23:00|F|39|dead
9/6/2019|1:10|M|72|dead
9/6/2019|5:22|M|81|dead
9/6/2019|12:00|F|55|dead
9/6/2019|12:00|F|74|dead
9/7/2019|5:00|F|60|dead
9/7/2019|8:00|M|81|dead
9/7/2019|9:00|M|18|Not_dead
9/7/2019|12:00|F|72|dead
9/7/2019|16:53|F|58|dead
9/7/2019|19:25|M|31|dead
9/8/2019|6:08|F|56|dead
9/8/2019|7:15|F|71|dead
9/9/2019|7:15|M|58|dead
9/10/2019|11:15|F|42|dead
9/10/2019|15:00|F|53|dead
